pdes,a,e,M,per
1P,17.8341442925537,0.967142908462304,38.3842644764388,75.3158906863411
2P,2.215132168119717,.8483353543281217,191.9830650931392,3.2969143756007
3D,3.53465808340135,0.751299,.9469569963959761,6.64552531740703
4P,3.83815915788662,.5696175496849397,59.65629669645756,7.51956420594534
5D,3.10112826228681,0.809796,.1743237848212893,5.46119640576126
6P,3.503683369339459,.6114219228700193,17.52046753268517,6.55836343821244
7P,3.418928238115145,.6376170100495518,51.05523981198084,6.32183534284138
8P,5.6998620708785754374048,0.8197997470243816309221,351.4516245290291,13.6083265414944
9P,3.146531761968834,.5098191971027368,319.8162046132129,5.58157008403714
10P,3.064200979961858,.5373524008962,345.6199434171522,5.36394199699254
11P,3.412530375504241,.5462361578422221,41.90335896713238,6.30409850979341
12P,17.121223241407509618738,0.9548123941619716115170,1.601583044410965,70.8451929225654
13P,16.9067774347548,0.930297147462082,1.656899068407468,69.5183499778236
14P,4.253550620791401,.3556303365465381,235.4411475254309,8.77274711988889
15P,3.487620254044579,.7201690549546611,22.08495765565798,6.51331360097578
16P,3.358221347550548,.5632234095202744,55.77498981764651,6.15420812539407
17P,3.620364612305112,.4316918158101075,60.1556261802272,6.8886904386768
18D,3.55954221481951,0.642580982439164,11.51461302314525,6.71582582329104
19P,3.602103618426963,.6255056909848424,18.60881822392003,6.83663674179294
20D,15.6421524304176,0.919831188993609,359.7165728186091,61.8661332756055
21P,3.515549653876195,.7068178874382801,79.15473085623789,6.59170945771282
22P,3.445531902348308,.5477531209893566,9.231823882440029,6.39576672805268
23P,17.069206834622299595594,0.9719522579248509597249,.2664191525503107,70.5225834969236
24P,4.08201725729564,0.704800355727747,10.5571002171822,8.2474645386527
25D,3.08916688391109,0.566818596285863,11.57706623123575,5.42963027852721
26P,3.016899663207433,.6402771379420908,93.84515864619932,5.24021977965204
27P,9.235960944226864,.9189810923126022,20.61577251683614,28.0692839516353
28P,6.91117047509728,0.775413310267197,24.12183115677739,18.169191853189
29P,6.012902722853091,.04159566771213193,280.2031403958263,14.7446500363493
30P,3.775407331000286,.5011953460445658,61.06376105450979,7.33590881521051
31P,4.246480086303573,.1939049560064233,100.7835205272671,8.75088224768839
32P,4.506309665622958,.5560422729746218,32.40775222084641,9.56620648484774
33P,4.0322648712397013426311,0.4619610780504002089941,34.65417307778618,8.09714246821617
34D,4.9435893,0.760719,1.1223642,11
