# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  5 05:27:31 2016
#
# COLUMN mpl_hostname:   Host Name
# COLUMN mpl_letter:     Planet Letter
# COLUMN mpl_discmethod: Discovery Method
# COLUMN mpl_pnum:       Number of Planets in System
# COLUMN mpl_orbper:     Orbital Period [days]
# COLUMN mpl_orbsmax:    Orbit Semi-Major Axis [AU]
# COLUMN mpl_orbeccen:   Eccentricity
# COLUMN mpl_dens:       Planet Density [g/cm**3]
# COLUMN mpl_orbincl:    Inclination [deg]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN mst_teff:       Effective Temperature [K]
# COLUMN mst_mass:       Stellar Mass [Solar mass]
# COLUMN mst_rad:        Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN mpl_name:       Planet Name
# COLUMN mpl_eqt:        Equilibrium Temperature [K]
# COLUMN mpl_masse:      Planet Mass [Earth mass]
# COLUMN mpl_rade:       Planet Radius [Earth radii]
# COLUMN mpl_status:     Status
# COLUMN mpl_mnum:       Number of Moons in System
# COLUMN rowupdate:      Date of Last Update
# COLUMN mst_lum:        Stellar Luminosity [log(Solar)]
#
rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
1,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,,0.260000,,46.200,325.122159,16.421759,2300.00,0.0800,0.12,,2MASS J21402931+1625183 A b,2075,6657.48000,10.310,3,0,2014-05-14,-3.480
2,55 Cnc,e,Radial Velocity,5,0.73654370,0.015440,0.061000,4.78000,87.300,133.149216,28.330818,5234.00,0.9050,0.94,,55 Cnc e,1958,7.81000,2.080,3,0,2015-12-03,
3,55 Cnc,e,Radial Velocity,5,0.73654600,0.015830,0.000000,4.50000,,133.149216,28.330818,,,,,55 Cnc e,,8.37000,2.173,3,0,2014-05-16,
4,CoRoT-1,b,Transit,1,1.50897655,0.025900,0.071000,0.44000,85.660,102.079885,-3.102147,,,,,CoRoT-1 b,1834,340.07810,15.917,3,0,2016-03-31,
5,CoRoT-1,b,Transit,1,1.50895570,,0.000000,0.38000,85.100,102.079885,-3.102147,5950.00,0.9500,1.11,,CoRoT-1 b,1898,327.35000,16.700,3,0,2014-05-14,
6,CoRoT-10,b,Transit,1,13.24060000,0.105500,0.530000,3.70000,88.550,291.063708,0.746143,5075.00,0.8900,0.79,,CoRoT-10 b,600,874.00000,10.870,3,0,2014-05-14,
7,CoRoT-11,b,Transit,1,2.99433000,0.043600,0.000000,0.99000,83.170,280.687263,5.937688,6440.00,1.2700,1.37,,CoRoT-11 b,1657,740.51000,16.030,3,0,2014-05-14,
8,CoRoT-12,b,Transit,1,2.82804200,0.040160,0.070000,0.41100,85.480,100.765677,-1.296439,5675.00,1.0780,1.12,,CoRoT-12 b,1442,291.43800,16.140,3,0,2014-05-14,
9,CoRoT-13,b,Transit,1,4.03519000,0.051000,0.000000,2.34000,88.020,102.721137,-5.086445,5945.00,1.0900,1.01,,CoRoT-13 b,1700,415.70400,9.920,3,0,2014-05-14,
10,CoRoT-14,b,Transit,1,1.51214000,0.027000,0.000000,7.30000,79.600,103.424211,-5.536037,6035.00,1.1300,1.21,,CoRoT-14 b,1952,2415.40000,12.220,3,0,2014-05-14,
11,CoRoT-16,b,Transit,1,5.35227000,0.061800,0.330000,0.44000,85.010,278.524691,-6.002595,5650.00,1.0980,1.19,,CoRoT-16 b,,170.03200,13.110,3,0,2014-05-14,
12,CoRoT-17,b,Transit,1,3.76810000,0.046100,0.000000,2.82000,88.340,278.699254,-6.612234,5740.00,1.0400,1.59,,CoRoT-17 b,1626,772.29000,11.430,3,0,2014-05-14,
13,CoRoT-18,b,Transit,1,1.90006930,0.029500,0.080000,2.20000,86.500,98.172410,-0.031586,5440.00,0.9500,1.00,,CoRoT-18 b,1550,1102.82000,14.680,3,0,2014-05-14,
14,CoRoT-19,b,Transit,1,3.89713000,0.051800,0.047000,0.71000,88.000,97.033582,-0.170681,6090.00,1.2100,1.65,,CoRoT-19 b,2000,352.78000,14.460,3,0,2014-05-14,0.544
15,CoRoT-2,b,Transit,1,1.74299640,0.028100,0.000000,,87.840,291.777056,1.383714,,,,,CoRoT-2 b,,1051.97300,16.421,3,0,2014-05-16,
16,CoRoT-2,b,Transit,1,1.74299350,0.027980,0.014300,1.47000,88.080,291.777056,1.383714,5625.00,0.9600,0.91,,CoRoT-2 b,,1102.82000,16.432,3,0,2014-05-14,
17,CoRoT-20,b,Transit,1,9.24285000,0.090200,0.562000,8.87000,88.210,97.720408,0.226919,5880.00,1.1400,1.02,,CoRoT-20 b,1002,1347.54000,9.420,3,0,2014-05-14,
18,CoRoT-22,b,Transit,1,9.75598000,0.092000,0.077000,0.24900,89.749,280.667115,6.219136,5939.00,1.0990,1.14,,CoRoT-22 b,885,12.20000,4.880,3,0,2014-08-21,
19,CoRoT-23,b,Transit,1,3.63130000,0.048000,0.160000,3.00000,85.700,279.782615,4.357806,5900.00,1.1400,1.61,,CoRoT-23 b,1660,889.90000,11.770,3,0,2014-05-14,
20,CoRoT-24,b,Transit,2,5.11340000,0.056000,0.000000,0.90000,86.500,101.922547,-3.719301,4950.00,0.9100,0.86,,CoRoT-24 b,1070,5.70000,3.700,3,0,2014-06-11,
21,CoRoT-24,c,Transit,2,11.75900000,0.098000,0.000000,1.30000,89.000,101.922547,-3.719301,4950.00,0.9100,0.86,,CoRoT-24 c,850,28.00000,5.000,3,0,2014-06-11,
22,CoRoT-25,b,Transit,1,4.86069000,0.057800,0.000000,0.15000,84.500,280.629662,6.513829,6040.00,1.0900,1.19,,CoRoT-25 b,1330,85.81000,12.110,3,0,2014-05-14,
23,CoRoT-26,b,Transit,1,4.20474000,0.052600,0.000000,0.28000,86.800,279.750514,6.969787,5590.00,1.0900,1.79,,CoRoT-26 b,1600,165.26000,14.120,3,0,2014-05-14,
24,CoRoT-27,b,Transit,1,3.57532000,0.047600,0.065000,12.60000,86.700,278.495813,5.538462,5900.00,1.0500,1.08,,CoRoT-27 b,1500,3302.11000,11.287,3,0,2014-05-14,
25,CoRoT-28,b,Transit,1,5.20851000,0.060300,0.047000,0.69000,88.100,278.688338,5.573730,5150.00,1.0100,1.78,,CoRoT-28 b,,153.82972,10.705,3,0,2015-04-16,
26,CoRoT-29,b,Transit,1,2.85057000,0.038600,0.082000,1.45000,87.300,278.902103,6.479651,5260.00,0.9700,0.90,,CoRoT-29 b,,270.15550,10.088,3,0,2015-04-16,
27,CoRoT-3,b,Transit,1,4.25680000,,0.000000,26.40000,85.900,292.055263,0.121820,6740.00,1.3700,1.56,,CoRoT-3 b,,6883.91000,11.320,3,0,2014-05-14,
28,CoRoT-4,b,Transit,1,9.20205000,0.090000,0.000000,0.52500,90.000,102.194663,-0.672774,6190.00,1.1600,1.17,,CoRoT-4 b,1074,228.83000,13.340,3,0,2014-05-14,
29,CoRoT-5,b,Transit,1,4.03789620,0.049470,0.090000,0.21700,85.830,101.277254,0.815239,6100.00,1.0000,1.19,,CoRoT-5 b,1438,148.42000,15.558,3,0,2014-05-14,
30,CoRoT-6,b,Transit,1,8.88659300,0.085500,0.100000,2.32000,89.070,281.072525,6.663194,6090.00,1.0500,1.02,,CoRoT-6 b,1017,940.74000,13.068,3,0,2014-05-14,
31,CoRoT-7,b,Transit,2,0.85359159,0.017016,0.000000,7.50000,80.780,100.956125,-1.063033,5259.00,0.9130,0.82,,CoRoT-7 b,1756,5.74000,1.585,3,0,2015-03-05,
32,CoRoT-8,b,Transit,1,6.21229000,0.063000,0.000000,1.60000,88.400,291.588518,1.426452,5080.00,0.8800,0.77,,CoRoT-8 b,,69.92000,6.390,3,0,2014-05-14,
33,CoRoT-9,b,Transit,1,95.27380000,0.407000,0.110000,0.90000,89.990,280.786712,6.204172,5625.00,0.9900,0.94,,CoRoT-9 b,,266.97000,11.770,3,0,2014-05-14,
34,Fomalhaut,b,Imaging,1,318280.00000000,115.000000,0.130000,,,344.412689,-29.622236,,2.0000,,,Fomalhaut b,,826.30000,13.500,3,0,2014-05-14,
35,GJ 1132,b,Transit,1,1.62893000,,0.000000,6.00000,,153.715737,-47.156727,3270.00,0.1810,0.21,,GJ 1132 b,409,1.62000,1.160,3,0,2015-11-12,-2.359
36,GJ 1214,b,Transit,1,1.58039250,,0.140000,1.87000,88.620,258.828837,4.963920,3026.00,0.1570,0.21,,GJ 1214 b,555,6.55000,2.678,3,0,2016-01-28,-2.484
37,GJ 3470,b,Radial Velocity,1,3.33714000,0.034800,0.051000,1.07000,88.800,119.774349,15.391492,3600.00,0.5410,0.50,,GJ 3470 b,615,14.00000,4.200,3,0,2014-05-14,-1.538
38,GJ 3470,b,Radial Velocity,1,3.33664870,0.031000,0.017000,1.18000,88.880,119.774349,15.391492,3652.00,0.5100,0.48,,GJ 3470 b,604,13.73000,3.880,3,0,2014-07-23,
39,GJ 436,b,Radial Velocity,1,2.64389803,0.030800,0.161600,,86.858,175.546219,26.706570,3416.00,0.5560,0.46,,GJ 436 b,,25.40000,4.100,3,0,2014-09-18,
40,GJ 436,b,Radial Velocity,1,2.60000000,0.029000,0.200000,1.70000,,175.546219,26.706570,,,,,GJ 436 b,650,23.20100,4.260,3,0,2015-02-12,
41,GJ 436,b,Radial Velocity,1,2.64389788,0.031090,0.150000,1.73000,86.774,175.546219,26.706570,,,,,GJ 436 b,686,23.13802,4.191,3,0,2016-03-31,
