rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
1,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,,0.26,,46.2,325.122159,16.421759,2300,0.08,0.12,,2MASS J21402931+1625183 A b,185,6657.48,10.31,3,0,14/05/14,-3.48
2,55 Cnc,e,Radial Velocity,5,0.7365437,0.01544,0.061,4.78,87.3,133.149216,28.330818,5234,0.905,0.94,,55 Cnc e,262,7.81,2.08,3,0,03/12/15,
3,55 Cnc,e,Radial Velocity,5,0.736546,0.01583,0,4.5,,133.149216,28.330818,,,,,55 Cnc e,273,8.37,2.173,3,0,16/05/14,
4,CoRoT-1,b,Transit,1,1.50897655,0.0259,0.071,0.44,85.66,102.079885,-3.102147,,,,,CoRoT-1 b,281,340.0781,15.917,3,0,31/03/16,
5,CoRoT-1,b,Transit,1,1.5089557,,0,0.38,85.1,102.079885,-3.102147,5950,0.95,1.11,,CoRoT-1 b,299,327.35,16.7,3,0,14/05/14,
6,CoRoT-10,b,Transit,1,13.2406,0.1055,0.53,3.7,88.55,291.063708,0.746143,5075,0.89,0.79,,CoRoT-10 b,369,874,10.87,3,0,14/05/14,
7,CoRoT-11,b,Transit,1,2.99433,0.0436,0,0.99,83.17,280.687263,5.937688,6440,1.27,1.37,,CoRoT-11 b,381,740.51,16.03,3,0,14/05/14,
8,CoRoT-12,b,Transit,1,2.828042,0.04016,0.07,0.411,85.48,100.765677,-1.296439,5675,1.078,1.12,,CoRoT-12 b,403,291.438,16.14,3,0,14/05/14,
9,CoRoT-13,b,Transit,1,4.03519,0.051,0,2.34,88.02,102.721137,-5.086445,5945,1.09,1.01,,CoRoT-13 b,409,415.704,9.92,3,0,14/05/14,
10,CoRoT-14,b,Transit,1,1.51214,0.027,0,7.3,79.6,103.424211,-5.536037,6035,1.13,1.21,,CoRoT-14 b,439,2415.4,12.22,3,0,14/05/14,
11,CoRoT-16,b,Transit,1,5.35227,0.0618,0.33,0.44,85.01,278.524691,-6.002595,5650,1.098,1.19,,CoRoT-16 b,475,170.032,13.11,3,0,14/05/14,
12,CoRoT-17,b,Transit,1,3.7681,0.0461,0,2.82,88.34,278.699254,-6.612234,5740,1.04,1.59,,CoRoT-17 b,478,772.29,11.43,3,0,14/05/14,
13,CoRoT-18,b,Transit,1,1.9000693,0.0295,0.08,2.2,86.5,98.17241,-0.031586,5440,0.95,1,,CoRoT-18 b,481,1102.82,14.68,3,0,14/05/14,
14,CoRoT-19,b,Transit,1,3.89713,0.0518,0.047,0.71,88,97.033582,-0.170681,6090,1.21,1.65,,CoRoT-19 b,485,352.78,14.46,3,0,14/05/14,0.544
15,CoRoT-2,b,Transit,1,1.7429964,0.0281,0,,87.84,291.777056,1.383714,,,,,CoRoT-2 b,511,1051.973,16.421,3,0,16/05/14,
16,CoRoT-2,b,Transit,1,1.7429935,0.02798,0.0143,1.47,88.08,291.777056,1.383714,5625,0.96,0.91,,CoRoT-2 b,543,1102.82,16.432,3,0,14/05/14,
17,CoRoT-20,b,Transit,1,9.24285,0.0902,0.562,8.87,88.21,97.720408,0.226919,5880,1.14,1.02,,CoRoT-20 b,543,1347.54,9.42,3,0,14/05/14,
18,CoRoT-22,b,Transit,1,9.75598,0.092,0.077,0.249,89.749,280.667115,6.219136,5939,1.099,1.14,,CoRoT-22 b,555,12.2,4.88,3,0,21/08/14,
19,CoRoT-23,b,Transit,1,3.6313,0.048,0.16,3,85.7,279.782615,4.357806,5900,1.14,1.61,,CoRoT-23 b,568,889.9,11.77,3,0,14/05/14,
20,CoRoT-24,b,Transit,2,5.1134,0.056,0,0.9,86.5,101.922547,-3.719301,4950,0.91,0.86,,CoRoT-24 b,584,5.7,3.7,3,0,11/06/14,
21,CoRoT-24,c,Transit,2,11.759,0.098,0,1.3,89,101.922547,-3.719301,4950,0.91,0.86,,CoRoT-24 c,584,28,5,3,0,11/06/14,
22,CoRoT-25,b,Transit,1,4.86069,0.0578,0,0.15,84.5,280.629662,6.513829,6040,1.09,1.19,,CoRoT-25 b,600,85.81,12.11,3,0,14/05/14,
23,CoRoT-26,b,Transit,1,4.20474,0.0526,0,0.28,86.8,279.750514,6.969787,5590,1.09,1.79,,CoRoT-26 b,604,165.26,14.12,3,0,14/05/14,
24,CoRoT-27,b,Transit,1,3.57532,0.0476,0.065,12.6,86.7,278.495813,5.538462,5900,1.05,1.08,,CoRoT-27 b,606,3302.11,11.287,3,0,14/05/14,
25,CoRoT-28,b,Transit,1,5.20851,0.0603,0.047,0.69,88.1,278.688338,5.57373,5150,1.01,1.78,,CoRoT-28 b,615,153.82972,10.705,3,0,16/04/15,
