# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  2 05:10:39 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1,11 Com,b,Radial Velocity,1,326.03000000,1.290000,0.231000,,19.40000,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,4.740,V (Johnson),4742.00,2.70,19.00,2014-05-14
2,11 UMi,b,Radial Velocity,1,516.22000000,1.540000,0.080000,,10.50000,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,5.016,V (Johnson),4340.00,1.80,24.08,2014-05-14
3,14 And,b,Radial Velocity,1,185.84000000,0.830000,0.000000,,4.80000,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,,,4813.00,2.20,11.00,2014-05-14
4,14 Her,b,Radial Velocity,1,1773.40000000,2.770000,0.369000,,4.64000,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,6.610,V (Johnson),5311.00,0.90,,2014-05-14
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.681000,0.681000,,1.68000,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,6.250,V (Johnson),5674.00,0.99,,2015-09-10
6,18 Del,b,Radial Velocity,1,993.30000000,2.600000,0.080000,,10.30000,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.10,,,4979.00,2.30,8.50,2014-05-14
7,1RXS J160929.1-210524,b,Imaging,1,,330.000000,,,8.00000,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,,,4060.00,0.85,,2015-04-01
8,24 Sex,b,Radial Velocity,2,452.80000000,1.333000,0.090000,,1.99000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,6.441,V (Johnson),5098.00,1.54,4.90,2014-05-14
9,24 Sex,c,Radial Velocity,2,883.00000000,2.080000,0.290000,,0.86000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,6.441,V (Johnson),5098.00,1.54,4.90,2014-05-14
10,2MASS J01225093-2439505,b,Imaging,1,,52.000000,,,24.50000,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,14.240,V (Johnson),3530.00,0.40,,2014-05-14
11,2MASS J02192210-3925225,b,Imaging,1,,156.000000,,,13.90000,Mass,1.440,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,,,3064.00,0.11,0.28,2015-05-14
12,2MASS J04414489+2301513,b,Imaging,1,,15.000000,,,7.50000,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,,,0.02,,2014-05-14
13,2MASS J12073346-3932539,b,Imaging,1,,46.000000,,,4.00000,Mass,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,20.150,V (Johnson),,0.02,,2014-05-14
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,0.920000,,,1.90000,Mass,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,,12.264,Kepler-band,,0.48,,2015-06-04
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,,0.260000,46.200,20.95000,Mass,0.920,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,,,2300.00,0.08,0.12,2014-05-14
16,30 Ari B,b,Radial Velocity,1,335.10000000,0.995000,0.289000,,9.88000,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,,,6300.00,1.16,1.13,2014-05-14
17,4 UMa,b,Radial Velocity,1,269.30000000,0.870000,0.432000,,7.10000,Msini,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.40,4.610,V (Johnson),4415.00,1.23,18.11,2014-05-14
18,42 Dra,b,Radial Velocity,1,479.10000000,1.190000,0.380000,,3.88000,Msini,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.820,V (Johnson),4200.00,0.98,22.03,2014-05-14
19,47 UMa,b,Radial Velocity,3,1078.00000000,2.100000,0.032000,,2.53000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.050,V (Johnson),5892.00,1.03,1.23,2014-05-14
20,47 UMa,c,Radial Velocity,3,2391.00000000,3.600000,0.098000,,0.54000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.050,V (Johnson),5892.00,1.03,1.23,2014-05-14
21,47 UMa,d,Radial Velocity,3,14002.00000000,11.600000,0.160000,,1.64000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.050,V (Johnson),5892.00,1.03,1.23,2014-05-14
22,51 Eri,b,Imaging,1,,13.200000,,,2.00000,Mass,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,5.230,V (Johnson),,1.75,,2015-08-14
23,51 Peg,b,Radial Velocity,1,4.23078500,0.052700,0.013000,,0.47200,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,5.500,V (Johnson),5793.00,1.12,1.20,2014-05-14
24,55 Cnc,b,Radial Velocity,5,14.65152000,0.115227,0.003400,90.000,0.83060,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,V (Johnson),5196.00,0.91,0.94,2014-10-29
25,55 Cnc,c,Radial Velocity,5,44.41750000,0.241376,0.020000,90.000,0.17140,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,V (Johnson),5196.00,0.91,0.94,2014-10-29
26,55 Cnc,d,Radial Velocity,5,4825.00000000,5.503000,0.019000,90.000,3.87800,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,V (Johnson),5196.00,0.91,0.94,2014-10-29
27,55 Cnc,e,Radial Velocity,5,,0.015440,,83.000,0.02542,Mass,0.171,6.30000,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,V (Johnson),5196.00,0.91,0.94,2016-01-21
28,55 Cnc,f,Radial Velocity,5,262.00000000,0.788000,0.305000,90.000,0.14100,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.960,V (Johnson),5196.00,0.91,0.94,2014-10-29
29,6 Lyn,b,Radial Velocity,1,874.77400000,2.180000,0.125000,,2.21000,Msini,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,,,4978.00,1.70,5.20,2015-09-03
30,61 Vir,b,Radial Velocity,3,4.21500000,0.050201,0.120000,,0.01600,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.740,V (Johnson),5577.00,0.94,0.96,2014-05-14
31,61 Vir,c,Radial Velocity,3,38.02100000,0.217500,0.140000,,0.05700,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.740,V (Johnson),5577.00,0.94,0.96,2014-05-14
32,61 Vir,d,Radial Velocity,3,123.01000000,0.476000,0.350000,,0.07200,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.740,V (Johnson),5577.00,0.94,0.96,2014-05-14
33,7 CMa,b,Radial Velocity,1,796.00000000,1.930000,0.220000,,2.46000,Msini,,,0,0,0,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.84,3.920,V (Johnson),4792.00,1.52,2.30,2015-10-22
