id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1,11 Com,b,Radial Velocity,1,326.03,1.29,0.231,,19.4,Msini,,,0,0,0,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,4.74,V (Johnson),4742,2.7,19,14/05/14
2,11 UMi,b,Radial Velocity,1,516.22,1.54,0.08,,10.5,Msini,,,0,0,0,,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,5.016,V (Johnson),4340,1.8,24.08,14/05/14
3,14 And,b,Radial Velocity,1,185.84,0.83,0,,4.8,Msini,,,0,0,0,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,,,4813,2.2,11,14/05/14
4,14 Her,b,Radial Velocity,1,1773.4,2.77,0.369,,4.64,Msini,,,0,0,0,,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,6.61,V (Johnson),5311,0.9,,14/05/14
5,16 Cyg B,b,Radial Velocity,1,798.5,1.681,0.681,,1.68,Msini,,,0,0,0,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,6.25,V (Johnson),5674,0.99,,10/09/15
6,18 Del,b,Radial Velocity,1,993.3,2.6,0.08,,10.3,Msini,,,0,0,0,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,,,4979,2.3,8.5,14/05/14
7,1RXS J160929.1-210524,b,Imaging,1,,330,,,8,Mass,,,0,0,0,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,,,4060,0.85,,01/04/15
8,24 Sex,b,Radial Velocity,2,452.8,1.333,0.09,,1.99,Msini,,,0,0,0,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,6.441,V (Johnson),5098,1.54,4.9,14/05/14
9,24 Sex,c,Radial Velocity,2,883,2.08,0.29,,0.86,Msini,,,0,0,0,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,6.441,V (Johnson),5098,1.54,4.9,14/05/14
10,2MASS J01225093-2439505,b,Imaging,1,,52,,,24.5,Mass,,,0,0,0,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,14.24,V (Johnson),3530,0.4,,14/05/14
