# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr  4 08:09:49 2016
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Significant Secondary False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,0,0,0,0,9.488031460,170.5384500,0.8730,3.09170,6.5360e+02,3.10,881.0,142.17,36.00,1,q1_q17_dr24_tce,5850.00,4.426,1.0400,291.934230,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0,0,0,0,54.418464000,162.5102600,0.0375,4.40100,9.0370e+02,3.10,492.0,13.86,26.10,2,q1_q17_dr24_tce,5850.00,4.426,1.0400,291.934230,48.141651,15.347
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0,0,0,0,19.899139805,175.8504250,37.4296,1.78960,1.1662e+04,3462.25,639.0,39.30,190.00,1,q1_q17_dr24_tce,5853.00,4.544,0.8680,297.004820,48.134129,15.436
4,10848459,K00754.01,,CANDIDATE,CANDIDATE,0,0,0,0,1.736952479,170.3075830,1.2717,2.41090,8.7067e+03,34.04,1404.0,919.79,571.00,1,q1_q17_dr24_tce,5795.00,4.546,0.8030,285.534610,48.285210,15.597
5,10854555,K00755.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.525593315,171.5951300,0.1830,1.58820,6.6630e+02,2.71,1407.0,926.16,44.70,1,q1_q17_dr24_tce,6031.00,4.438,1.0460,288.754880,48.226200,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,0,0,0,0,11.094319230,171.2020200,0.2619,4.54830,1.6904e+03,4.02,835.0,114.81,66.50,1,q1_q17_dr24_tce,6046.00,4.486,0.9720,296.286130,48.224670,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,0,0,0,0,4.134430050,172.9800800,0.7964,3.17970,7.8940e+02,3.02,1160.0,427.65,41.10,2,q1_q17_dr24_tce,6046.00,4.486,0.9720,296.286130,48.224670,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0,0,0,0,2.566590920,179.5552800,0.2281,2.38800,2.5480e+02,1.56,1360.0,807.74,15.30,3,q1_q17_dr24_tce,6046.00,4.486,0.9720,296.286130,48.224670,15.714
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,7.361780440,132.2503300,1.1464,5.03780,3.2330e+02,35.33,1342.0,767.22,82.50,1,q1_q17_dr24_tce,6227.00,3.986,1.9580,298.864350,42.151569,12.660
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,0,0,0,0,16.068629590,173.6225360,0.0419,3.54580,5.3171e+03,5.27,571.0,25.07,153.80,1,q1_q17_dr24_tce,5126.00,4.609,0.7420,286.999480,48.375790,15.841
