rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803146,170.53845,0.873,3.0917,6.54E+02,3.1,881,142.17,36,5850,4.426,1.04,291.93423,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.418464,162.51026,0.0375,4.401,9.04E+02,3.1,492,13.86,26.1,5850,4.426,1.04,291.93423,48.141651,15.347
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,19.89913981,175.850425,37.4296,1.7896,1.17E+04,3462.25,639,39.3,190,5853,4.544,0.868,297.00482,48.134129,15.436
4,10848459,K00754.01,,CANDIDATE,CANDIDATE,1.736952479,170.307583,1.2717,2.4109,8.71E+03,34.04,1404,919.79,571,5795,4.546,0.803,285.53461,48.28521,15.597
5,10854555,K00755.01,,CANDIDATE,CANDIDATE,2.525593315,171.59513,0.183,1.5882,6.66E+02,2.71,1407,926.16,44.7,6031,4.438,1.046,288.75488,48.2262,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09431923,171.20202,0.2619,4.5483,1.69E+03,4.02,835,114.81,66.5,6046,4.486,0.972,296.28613,48.22467,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443005,172.98008,0.7964,3.1797,7.89E+02,3.02,1160,427.65,41.1,6046,4.486,0.972,296.28613,48.22467,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56659092,179.55528,0.2281,2.388,2.55E+02,1.56,1360,807.74,15.3,6046,4.486,0.972,296.28613,48.22467,15.714
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,7.36178044,132.25033,1.1464,5.0378,3.23E+02,35.33,1342,767.22,82.5,6227,3.986,1.958,298.86435,42.151569,12.66
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06862959,173.622536,0.0419,3.5458,5.32E+03,5.27,571,25.07,153.8,5126,4.609,0.742,286.99948,48.37579,15.841
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613385,122.7633008,0.8186,1.74259,1.42E+04,12.85,1344,772.22,6802,5850,4.455,0.95,286.80847,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735365,121.3585723,0.001,3.88216,6.69E+03,16.39,2025,3973.7,6714.5,6350,4.021,1.991,292.24728,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498573,121.1194294,0.6141,3.19061,9.38E+03,14.83,1521,1264.67,1801.5,6225,4.169,1.451,281.28812,42.45108,13.563
14,10984090,K00112.02,,CANDIDATE,CANDIDATE,3.709213846,133.98373,0.205,2.5575,1.33E+02,1.24,1236,552.21,54,5803,4.351,1.073,295.64871,48.49556,12.772
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,11.52144611,170.839656,4.0693,3.62581,1.96E+04,297.97,754,76.56,635.4,5804,4.553,0.85,297.07993,47.597401,15.472
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,19.40398222,172.482574,0.9832,9.7265,4.58E+03,7.9,523,17.69,29.3,5043,4.591,0.68,289.25821,47.635319,15.487
17,10480982,K00744.01,,CANDIDATE,CANDIDATE,19.22138615,184.5522893,1.0736,4.80831,7.93E+04,51.4,698,55.97,2043.1,6117,4.496,0.947,295.81454,47.69035,15.341
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,16.46983563,180.881539,0.0073,9.4283,1.14E+04,8.21,595,29.61,413.9,5152,4.517,0.786,297.15442,47.668701,15.788
19,10526549,K00746.01,,CANDIDATE,CANDIDATE,9.27358194,173.258019,0.2361,3.3004,1.37E+03,2.52,649,41.85,83.1,4856,4.583,0.696,288.13824,47.724449,15.302
20,10583066,K00747.01,,CANDIDATE,CANDIDATE,6.029301321,171.60329,0.3748,1.5798,2.11E+03,3.14,685,52.09,65.5,4536,4.636,0.693,283.71088,47.86327,15.784
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,2.696365214,170.7388,0.0618,3.6596,4.83E+02,1.74,1066,305.34,54,4989,4.504,0.819,283.76547,47.804298,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.34955671,171.80662,0.8201,3.2079,8.90E+02,2.7,918,167.93,60.5,5559,4.572,0.806,292.37613,47.880989,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.94104632,136.08838,0.0086,2.5444,3.97E+02,1.59,1017,252.42,28.8,5559,4.572,0.806,292.37613,47.880989,15.416
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.10904671,132.80415,0.3038,3.567,2.20E+02,1.19,799,96.38,13.4,5559,4.572,0.806,292.37613,47.880989,15.416
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,386.6030528,166.342079,0.9765,6.8057,2.49E+04,41.5,297,1.84,994,5543,4.081,1.58,292.27374,37.671558,12.394
26,10662202,K00750.01,,CANDIDATE,CANDIDATE,21.67697486,171.5375,0.0076,3.1263,8.86E+02,1.54,430,8.09,35.1,4722,4.723,0.527,290.46512,47.92918,15.377
27,10682541,K00751.01,,CANDIDATE,CANDIDATE,4.99678284,171.74158,0.3083,2.09,1.03E+03,2.7,917,166.95,29.8,5339,4.552,0.847,297.80826,47.946671,15.861
28,11460018,K00769.01,,CANDIDATE,CANDIDATE,4.280958588,171.89742,0.3248,2.8753,7.86E+02,2.33,1014,250.32,60.8,5641,4.556,0.831,294.26581,49.314091,15.356
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,1.506354539,170.997906,0.8721,1.5424,2.48E+03,4.87,1459,1070.27,183.8,5722,4.558,0.835,295.66522,49.351009,15.525
30,11465813,K00771.01,,CANDIDATE,CANDIDATE,670.645246,209.04415,0.6757,54.024,1.92E+04,14.41,196,0.35,524.8,5520,4.466,0.983,296.69861,49.316479,15.207
31,11493732,K00772.01,,CANDIDATE,CANDIDATE,61.2563443,173.83772,1.4583,7.668,5.43E+03,64.23,505,15.43,88.1,6144,4.402,1.091,283.72592,49.479519,15.25
32,11507101,K00773.01,,CANDIDATE,CANDIDATE,38.3774623,172.81951,0.162,5.55,7.76E+02,2.7,541,20.3,35.2,5957,4.498,0.971,291.72202,49.480869,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.1970874,165.00732,0.0216,4.5643,2.51E+03,3.62,417,7.14,51.5,5126,4.609,0.742,286.99948,48.37579,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252964898,171.30117,0.1782,2.5918,1.10E+03,2.41,782,88.22,45.6,5126,4.609,0.742,286.99948,48.37579,15.841
35,10987985,K00758.01,,CANDIDATE,CANDIDATE,16.01310205,176.35963,0.1874,3.0654,1.26E+03,2.86,593,29.31,40,5015,4.499,0.826,297.02563,48.478588,15.39
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.62882975,194.10095,44.5801,6.3644,2.07E+03,3791.05,506,15.48,73.8,5588,4.563,0.796,285.71854,48.505859,15.082
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.77221,193.84849,0.3482,6.363,7.13E+02,2.13,358,3.9,18.8,5588,4.563,0.796,285.71854,48.505859,15.082
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,4.959319451,172.2584591,0.8365,2.23976,1.04E+04,11.88,1128,382.06,684.9,6117,4.457,1.025,292.16705,48.727589,15.263
