name,a,e,pha
Eros,1.457877746420397,.2226786588694712,N
Albert,2.633253250236714,.5508742978542445,N
Alinda,2.478760359274814,.5672172168549113,N
Ganymed,2.663276053992385,.5339514124972429,N
Amor,1.919386512005161,.4354551638473656,N
Icarus,1.078063024534608,.8268942439117076,Y
Betulia,2.197245445099418,.4874922716586908,N
Geographos,1.245343351824207,.3354147271940358,Y
Ivar,1.86292629215694,.3965017289849572,N
Toro,1.367363410229651,.4359034230867038,N
Apollo,1.470228378028111,.5599463410903583,Y
Antinous,2.25989985647883,.6062601670952182,N
Daedalus,1.460719531404426,.6147402838330497,N
Cerberus,1.080024282995551,.466970473703813,N
Sisyphus,1.893707991872997,.5384528002017618,N
Quetzalcoatl,2.544883594505142,.5705533844878543,N
Boreas,2.271717548680661,.4502112559347858,N
Cuyo,2.15127444614881,.5042142171006051,N
Anteros,1.430506227477906,.255965751365342,N
Tezcatlipoca,1.709463575537393,.3648746681776369,N
Midas,1.776133064241597,.6500103723269686,Y
Baboquivari,2.646866371250417,.5292401221215048,N
Anza,2.265392822894476,.5369121718948973,N
Aten,.9667898316324987,.1827171340905242,N
Bacchus,1.077956769730746,.3493283475874288,N
Ra-Shalom,.8320233319213325,.4365418005751031,N
Adonis,1.874944104639423,.763827824774997,Y
Tantalus,1.290051783403005,.299148816495564,Y
Aristaeus,1.599472808063654,.50305407378915,Y
Oljato,2.174671942652521,.7131248452907215,Y
Pele,2.290426886813583,.5124652338567152,N
Hephaistos,2.159046966615689,.837576182211995,N
Orthos,2.408809487832393,.6549550809974606,N
Hathor,.8438292455376517,.4498841655895494,Y
Beltrovata,2.10639551737571,.4130540299624936,N
Seneca,2.516063532390203,.5713505079598545,N
Krok,2.15065508031892,.4494778143411288,N
Eger,1.404396928453943,.3543653240985432,N
Florence,1.768628211256131,.4227360275419969,Y
Nefertiti,1.574418111003022,.284059945645673,N
Phaethon,1.271194476429617,.8898751876405596,Y
Ul,2.101285353079161,.3959646207974631,N
Seleucus,2.032832736932446,.4562092321258862,N
McAuliffe,1.87889471900775,.369046472495818,N
Syrinx,2.466970925068284,.745471360742413,N
Orpheus,1.209441990741181,.3228826503635961,Y
Khufu,.9895059032162825,.4685335922027844,Y
Verenia,2.092144050984406,.4877094323144412,N
