name,a,e,M,per
,43.77979775,0.065888043,26.98694245,289.6802113
,39.29373266,0.31980993,349.7545377,246.3162881
,39.40034785,0.183722568,66.18558314,247.3194581
,44.02075016,0.063800687,68.3713469,292.0749836
,42.20532542,0.21646635,350.5738203,274.1947165
,39.36539077,0.118349844,29.73772497,246.9903881
,39.38401738,0.315512083,355.4181966,247.1657124
,36.63197673,0.077215059,52.74785158,221.7168675
,83.40348835,0.57967478,6.850480112,761.7009993
,39.39459355,0.329952611,22.71304415,247.2652797
,47.34444149,0.212947944,65.9738401,325.7704583
,44.24783335,0.051205063,328.5501591,294.3379203
,42.87363678,0.035743978,267.9249531,280.7331436
,39.52577532,0.256796987,6.833305175,248.5013765
,43.15681539,0.120902134,137.1587694,283.5190775
Chaos,45.79632929,0.105671911,337.2997631,309.9232849
Varuna,43.12330275,0.050464434,105.1190954,283.1888993
,39.35366574,0.14379585,59.55826986,246.8800468
,47.61540482,0.396988989,53.8548853,328.571147
,41.76168186,0.105122834,327.6553299,269.8827788
,39.25176629,0.224970704,337.1441402,245.9217886
,43.43630331,0.051949423,68.77263745,286.2776793
,94.55046097,0.59555992,10.23813911,919.3982612
,47.47154674,0.368913865,45.53351768,327.0832284
,56.00207063,0.422493767,25.38501319,419.0967854
Ixion,39.5047441,0.24170746,280.5399639,248.3030657
,96.14234172,0.87189077,6.196481705,942.7146283
,39.51269786,0.26057678,13.95587258,248.3780583
,43.68306716,0.036889134,248.7736167,288.7206778
,33.44060409,0.382354172,71.18011589,193.383481
,39.38205334,0.254291718,2.745435807,247.1472237
,37.77051191,0.043206957,282.497904,232.1333338
Rhadamanthus,39.19423605,0.153328829,97.14781083,245.3813255
,56.10727205,0.419519823,357.505573,420.278267
Huya,39.6281224,0.279974984,1.53188281,249.4671961
,49.00546747,0.306472139,345.4124761,343.0638892
,51.35060295,0.282870023,77.67492397,367.9819558
Typhon,38.26398654,0.541456014,14.61898075,236.6974204
,32.08318328,0.452222816,343.8938375,181.7290602
,43.28732328,0.013381166,104.7290681,284.8061084
,39.28221221,0.222171468,0.772984634,246.2079706
,39.5846832,0.28557809,8.754126551,249.0571205
,52.35760749,0.234405329,42.65235418,378.859247
,42.97093784,0.101312793,304.1916694,281.6893649
Quaoar,43.37290252,0.034703926,287.5424696,285.6511202
,44.46547613,0.058619138,316.4129354,296.512238
Deucalion,44.28858835,0.062384218,303.3269899,294.7446691
,123.1208828,0.768637585,11.39318476,1366.173269
,47.52630914,0.131392752,293.8763555,327.6493685
,43.11599303,0.121736777,73.76179518,283.1168984
,42.60210086,0.143565539,294.4677985,278.0703776
,39.34812311,0.288143647,20.60539799,246.8278922
Logos,45.54900444,0.123040107,56.49487665,307.4160485
,41.73037398,0.210198131,44.28639266,269.5793473
,44.62402208,0.087861128,302.7344661,298.0995153
,60.15991869,0.409933784,340.601761,466.6261392
,49.91286592,0.547256492,8.910965442,352.6362568
,44.02060129,0.223479973,323.7367394,292.0735019
,55.85809622,0.407235069,28.89261025,417.4816555
,54.7799196,0.954802437,11.77861454,405.4527851
Ceto,102.7937193,0.826352883,9.121939525,1042.216806
,44.77579571,0.06690992,108.6669274,299.6216359
Borasisi,43.55486191,0.085780887,60.02493756,287.4505633
,39.46809117,0.22380069,42.70783954,247.9575785
,42.50329071,0.019231543,77.86964924,277.1035155
,54.99879287,0.426626426,43.43012792,407.8851918
,39.25614988,0.185050929,45.83541859,245.9629861
,30.78499378,0.567517903,29.90286174,170.8113824
,38.5018382,0.123003946,65.59288864,238.9078386
,37.52890606,0.246725598,140.317425,229.9095758
Sila-Nunam,44.11572484,0.016535716,331.8837796,293.02072
,35.11806156,0.087066654,48.32183349,208.1152983
,54.26823392,0.277476165,42.1117503,399.7852205
,46.78154798,0.149191908,18.01385181,319.9779744
,42.4263666,0.064659834,92.23657722,276.3515869
,58.21981617,0.29168654,29.64342974,444.2367129
,86.79921821,0.626710754,2.287868451,808.6897203
,38.82199251,0.060377698,290.7563099,241.8939099
,226.3447704,0.848668478,1.271722238,3405.366814
,55.26549939,0.294690588,322.0558476,410.855732
,39.32450098,0.262573236,73.45289246,246.6056557
,39.43461797,0.075539055,15.53534555,247.6422032
,44.08836422,0.086950518,315.8146608,292.7481647
,43.35229508,0.031514127,247.4777365,285.4475655
,43.70754369,0.170693001,62.4188633,288.9633761
,45.02701902,0.233530786,346.2614039,302.1467978
,517.1381419,0.959831639,0.328967047,11760.29073
,34.76768883,0.562801454,41.70501326,205.0085318
,43.06762752,0.026955289,99.52508733,282.640651
,42.52365594,0.016072064,316.7852823,277.3026984
Teharonhiawako,43.84472331,0.031711757,158.444077,290.324845
Sedna,507.5603422,0.85018238,358.0957123,11435.09362
Orcus,39.46947937,0.217985459,174.6732512,247.9706606
,42.17284541,0.081681209,34.60304775,273.8782588
,39.43781614,0.230519486,25.1588678,247.6723296
,39.27483098,0.130471586,59.22350711,246.1385792
,100.5914736,0.69246071,6.186511441,1008.904265
,53.35297607,0.379936676,17.58789679,389.7141519
,39.36863651,0.120319059,24.25148105,247.0209359
,43.95350939,0.115113838,323.8890166,291.4060316
,45.52049896,0.23702332,62.47110545,307.1275129
,43.45857976,0.229347338,326.4627583,286.4979352
,97.36712427,0.597739838,10.18629152,960.7861131
,43.73073745,0.078082208,310.7435728,289.1934177
,43.58543574,0.187327619,295.4646716,287.7532852
,55.26413407,0.35975299,13.44579692,410.840507
,39.17688908,0.239531713,317.5816382,245.2184386
,43.76233952,0.177622045,18.07832318,289.5069534
,39.55587433,0.2855549,342.0913547,248.7852824
,54.3536517,0.350087626,22.20854988,400.72948
,38.86733481,0.041761878,261.3026557,242.3178151
,43.42171855,0.17459124,86.10327456,286.1335047
,48.01033994,0.264978789,316.015439,332.6674995
,49.80853293,0.255838769,28.25726689,351.5311602
,43.05028079,0.106151911,71.84136036,282.4699057
,32.27657933,0.170670264,6.601918518,183.3747164
,39.63699685,0.319373004,356.9999606,249.5510006
Salacia,41.86036827,0.109046771,121.8481007,270.8399777
,38.78003097,0.067140255,265.9251,241.501832
,44.43073417,0.046973333,327.6776767,296.1647975
,42.57680382,0.144411502,19.45478224,277.8227379
,39.60647299,0.295424162,10.6499004,249.2627928
,72.30064553,0.474031691,12.4937163,614.7824545
,47.43208543,0.198664837,355.1009468,326.6754752
,67.7238505,0.68983044,4.694229073,557.3405808
,35.19006189,0.08884062,57.57184373,208.7556547
,39.60932339,0.273978726,5.495665821,249.2897017
,43.91856967,0.039827534,2.917426275,291.058632
,47.62210985,0.28337551,21.34225055,328.6405517
,39.62211713,0.179596246,26.6860854,249.4104917
,37.42042298,0.055879122,24.08753626,228.9134131
,53.39058582,0.327738493,359.9799763,390.1263023
,35.12311448,0.079253357,318.5073142,208.1602166
,39.7862964,0.260815855,50.79596068,250.9622925
,61.59167863,0.3892982,6.308311136,483.382878
Pluto,39.44506973,0.250248713,25.24718971,247.7406624
,43.42020443,0.145581382,25.38886971,286.1185385
,42.66005115,0.021931042,102.5889378,278.637946
,43.79717717,0.108056093,268.9679287,289.8527215
,36.93666789,0.019123241,105.7450343,224.4888495
,55.52428573,0.353912175,353.5256368,413.7449184
,43.45878304,0.124486967,68.84147539,286.4999453
Haumea,43.30697069,0.189474408,211.0834123,285.0000336
,62.52216143,0.481794219,14.14719501,494.3780469
Eris,67.68871444,0.442076153,204.5157834,556.9069031
Makemake,45.76304135,0.154239346,158.0444249,309.5854357
,44.76704085,0.106064458,76.16299464,299.5337642
,47.3414645,0.289367548,1.753281269,325.7397324
,46.30578918,0.135572589,351.9244046,315.1092395
,44.54824879,0.264789372,45.76368914,297.3405613
,39.19992146,0.189841008,7.386314894,245.4347189
,36.32276921,0.232820526,7.689762883,218.915559
,55.31721661,0.412867639,9.863156436,411.4325825
,42.04383326,0.250099973,15.36803987,272.6224773
,44.70798898,0.140436845,323.6426052,298.9412905
,38.90147951,0.040340348,97.67572521,242.6371971
,90.40472082,0.611432532,4.64246027,859.5969509
,41.35874187,0.019046846,338.2785594,265.9862465
,43.16297815,0.136392229,43.57593761,283.5798091
,92.10686042,0.641592061,351.4227846,883.9875955
,75.16638793,0.385397832,359.5196847,651.6940018
,43.76178653,0.039788649,95.69285484,289.501466
,227.9513325,0.805722297,5.282669451,3441.687267
Altjira,44.22430757,0.059978942,124.2936674,294.1032102
,45.04933279,0.11933736,56.53886429,302.3714253
,42.23215717,0.24131806,313.2012146,274.4562342
,41.3535054,0.475962707,33.29567211,265.9357329
,45.52206826,0.12535331,338.4405018,307.1433953
,44.88555966,0.108497689,70.24564584,300.7240553
,43.89104568,0.091703192,346.6044271,290.785063
,70.01362726,0.508758951,353.5801437,585.844112
